2021-03-23 05:26:31 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2021-03-23 05:26:31 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2021-03-23 05:26:31 install libseccomp2:amd64 <none> 2.3.3-4
2021-03-23 05:26:31 status half-installed libseccomp2:amd64 2.3.3-4
2021-03-23 05:26:31 status unpacked libseccomp2:amd64 2.3.3-4
2021-03-23 05:26:31 install libselinux1:amd64 <none> 2.8-1+b1
2021-03-23 05:26:31 status half-installed libselinux1:amd64 2.8-1+b1
2021-03-23 05:26:31 status unpacked libselinux1:amd64 2.8-1+b1
2021-03-23 05:26:31 install libsemanage-common:all <none> 2.8-2
2021-03-23 05:26:31 status half-installed libsemanage-common:all 2.8-2
2021-03-23 05:26:31 status unpacked libsemanage-common:all 2.8-2
2021-03-23 05:26:31 install libsemanage1:amd64 <none> 2.8-2
2021-03-23 05:26:31 status half-installed libsemanage1:amd64 2.8-2
2021-03-23 05:26:31 status unpacked libsemanage1:amd64 2.8-2
2021-03-23 05:26:31 install libsepol1:amd64 <none> 2.8-1
2021-03-23 05:26:31 status half-installed libsepol1:amd64 2.8-1
2021-03-23 05:26:31 status unpacked libsepol1:amd64 2.8-1
2021-03-23 05:26:31 install libtasn1-6:amd64 <none> 4.13-3
2021-03-23 05:26:31 status half-installed libtasn1-6:amd64 4.13-3
2021-03-23 05:26:31 status unpacked libtasn1-6:amd64 4.13-3
2021-03-23 05:26:31 install libunistring2:amd64 <none> 0.9.10-1
2021-03-23 05:26:31 status half-installed libunistring2:amd64 0.9.10-1
2021-03-23 05:26:31 status unpacked libunistring2:amd64 0.9.10-1
2021-03-23 05:26:31 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2021-03-23 05:26:31 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2021-03-23 05:26:31 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2021-03-23 05:26:31 install liblz4-1:amd64 <none> 1.8.3-1
2021-03-23 05:26:31 status half-installed liblz4-1:amd64 1.8.3-1
2021-03-23 05:26:31 status unpacked liblz4-1:amd64 1.8.3-1
2021-03-23 05:26:31 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-03-23 05:26:31 status half-configured mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:31 status unpacked mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:31 status half-installed mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:31 status unpacked mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:31 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-03-23 05:26:31 install libhogweed4:amd64 <none> 3.4.1-1
2021-03-23 05:26:31 status half-installed libhogweed4:amd64 3.4.1-1
2021-03-23 05:26:31 status unpacked libhogweed4:amd64 3.4.1-1
2021-03-23 05:26:31 install libnettle6:amd64 <none> 3.4.1-1
2021-03-23 05:26:31 status half-installed libnettle6:amd64 3.4.1-1
2021-03-23 05:26:31 status unpacked libnettle6:amd64 3.4.1-1
2021-03-23 05:26:31 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2021-03-23 05:26:31 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2021-03-23 05:26:31 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-03-23 05:26:31 install libpam-modules:amd64 <none> 1.3.1-5
2021-03-23 05:26:31 status half-installed libpam-modules:amd64 1.3.1-5
2021-03-23 05:26:32 status unpacked libpam-modules:amd64 1.3.1-5
2021-03-23 05:26:32 install libpam-modules-bin:amd64 <none> 1.3.1-5
2021-03-23 05:26:32 status half-installed libpam-modules-bin:amd64 1.3.1-5
2021-03-23 05:26:32 status unpacked libpam-modules-bin:amd64 1.3.1-5
2021-03-23 05:26:32 install libpam-runtime:all <none> 1.3.1-5
2021-03-23 05:26:32 status half-installed libpam-runtime:all 1.3.1-5
2021-03-23 05:26:32 status unpacked libpam-runtime:all 1.3.1-5
2021-03-23 05:26:32 install libpam0g:amd64 <none> 1.3.1-5
2021-03-23 05:26:32 status half-installed libpam0g:amd64 1.3.1-5
2021-03-23 05:26:32 status unpacked libpam0g:amd64 1.3.1-5
2021-03-23 05:26:32 install libpcre3:amd64 <none> 2:8.39-12
2021-03-23 05:26:32 status half-installed libpcre3:amd64 2:8.39-12
2021-03-23 05:26:32 status unpacked libpcre3:amd64 2:8.39-12
2021-03-23 05:26:32 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-03-23 05:26:32 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:32 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:32 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:32 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-03-23 05:26:32 install sed:amd64 <none> 4.7-1
2021-03-23 05:26:32 status half-installed sed:amd64 4.7-1
2021-03-23 05:26:32 status unpacked sed:amd64 4.7-1
2021-03-23 05:26:32 install login:amd64 <none> 1:4.5-1.1
2021-03-23 05:26:32 status half-installed login:amd64 1:4.5-1.1
2021-03-23 05:26:32 status unpacked login:amd64 1:4.5-1.1
2021-03-23 05:26:32 install passwd:amd64 <none> 1:4.5-1.1
2021-03-23 05:26:32 status half-installed passwd:amd64 1:4.5-1.1
2021-03-23 05:26:32 status unpacked passwd:amd64 1:4.5-1.1
2021-03-23 05:26:32 install libsystemd0:amd64 <none> 241-7~deb10u6
2021-03-23 05:26:32 status half-installed libsystemd0:amd64 241-7~deb10u6
2021-03-23 05:26:32 status unpacked libsystemd0:amd64 241-7~deb10u6
2021-03-23 05:26:32 install libudev1:amd64 <none> 241-7~deb10u6
2021-03-23 05:26:32 status half-installed libudev1:amd64 241-7~deb10u6
2021-03-23 05:26:32 status unpacked libudev1:amd64 241-7~deb10u6
2021-03-23 05:26:32 install sysvinit-utils:amd64 <none> 2.93-8
2021-03-23 05:26:32 status half-installed sysvinit-utils:amd64 2.93-8
2021-03-23 05:26:32 status unpacked sysvinit-utils:amd64 2.93-8
2021-03-23 05:26:32 install tar:amd64 <none> 1.30+dfsg-6
2021-03-23 05:26:32 status half-installed tar:amd64 1.30+dfsg-6
2021-03-23 05:26:33 status unpacked tar:amd64 1.30+dfsg-6
2021-03-23 05:26:33 install tzdata:all <none> 2021a-0+deb10u1
2021-03-23 05:26:33 status half-installed tzdata:all 2021a-0+deb10u1
2021-03-23 05:26:33 status unpacked tzdata:all 2021a-0+deb10u1
2021-03-23 05:26:33 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-03-23 05:26:33 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-03-23 05:26:33 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-03-23 05:26:33 install fdisk:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed fdisk:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked fdisk:amd64 2.33.1-0.1
2021-03-23 05:26:33 install libblkid1:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed libblkid1:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked libblkid1:amd64 2.33.1-0.1
2021-03-23 05:26:33 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked libfdisk1:amd64 2.33.1-0.1
2021-03-23 05:26:33 install libmount1:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed libmount1:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked libmount1:amd64 2.33.1-0.1
2021-03-23 05:26:33 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-03-23 05:26:33 install libuuid1:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed libuuid1:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked libuuid1:amd64 2.33.1-0.1
2021-03-23 05:26:33 install mount:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed mount:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked mount:amd64 2.33.1-0.1
2021-03-23 05:26:33 install util-linux:amd64 <none> 2.33.1-0.1
2021-03-23 05:26:33 status half-installed util-linux:amd64 2.33.1-0.1
2021-03-23 05:26:33 status unpacked util-linux:amd64 2.33.1-0.1
2021-03-23 05:26:33 install liblzma5:amd64 <none> 5.2.4-1
2021-03-23 05:26:33 status half-installed liblzma5:amd64 5.2.4-1
2021-03-23 05:26:33 status unpacked liblzma5:amd64 5.2.4-1
2021-03-23 05:26:33 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-03-23 05:26:33 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-03-23 05:26:33 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-03-23 05:26:33 startup packages configure
2021-03-23 05:26:33 configure debian-archive-keyring:all 2019.1 <none>
2021-03-23 05:26:33 status unpacked debian-archive-keyring:all 2019.1
2021-03-23 05:26:33 status half-configured debian-archive-keyring:all 2019.1
2021-03-23 05:26:33 status installed debian-archive-keyring:all 2019.1
2021-03-23 05:26:33 configure libaudit-common:all 1:2.8.4-3 <none>
2021-03-23 05:26:33 status unpacked libaudit-common:all 1:2.8.4-3
2021-03-23 05:26:33 status half-configured libaudit-common:all 1:2.8.4-3
2021-03-23 05:26:33 status installed libaudit-common:all 1:2.8.4-3
2021-03-23 05:26:33 configure libsemanage-common:all 2.8-2 <none>
2021-03-23 05:26:33 status unpacked libsemanage-common:all 2.8-2
2021-03-23 05:26:33 status half-configured libsemanage-common:all 2.8-2
2021-03-23 05:26:33 status installed libsemanage-common:all 2.8-2
2021-03-23 05:26:33 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-03-23 05:26:33 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-23 05:26:33 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-23 05:26:33 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-03-23 05:26:33 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-03-23 05:26:33 status unpacked gcc-8-base:amd64 8.3.0-6
2021-03-23 05:26:33 status half-configured gcc-8-base:amd64 8.3.0-6
2021-03-23 05:26:33 status installed gcc-8-base:amd64 8.3.0-6
2021-03-23 05:26:33 configure libc6:amd64 2.28-10 <none>
2021-03-23 05:26:33 status unpacked libc6:amd64 2.28-10
2021-03-23 05:26:33 status half-configured libc6:amd64 2.28-10
2021-03-23 05:26:34 status installed libc6:amd64 2.28-10
2021-03-23 05:26:34 configure libudev1:amd64 241-7~deb10u6 <none>
2021-03-23 05:26:34 status unpacked libudev1:amd64 241-7~deb10u6
2021-03-23 05:26:34 status half-configured libudev1:amd64 241-7~deb10u6
2021-03-23 05:26:34 status installed libudev1:amd64 241-7~deb10u6
2021-03-23 05:26:34 configure libsepol1:amd64 2.8-1 <none>
2021-03-23 05:26:34 status unpacked libsepol1:amd64 2.8-1
2021-03-23 05:26:34 status half-configured libsepol1:amd64 2.8-1
2021-03-23 05:26:34 status installed libsepol1:amd64 2.8-1
2021-03-23 05:26:34 configure libattr1:amd64 1:2.4.48-4 <none>
2021-03-23 05:26:34 status unpacked libattr1:amd64 1:2.4.48-4
2021-03-23 05:26:34 status half-configured libattr1:amd64 1:2.4.48-4
2021-03-23 05:26:34 status installed libattr1:amd64 1:2.4.48-4
2021-03-23 05:26:34 configure libtasn1-6:amd64 4.13-3 <none>
2021-03-23 05:26:34 status unpacked libtasn1-6:amd64 4.13-3
2021-03-23 05:26:34 status half-configured libtasn1-6:amd64 4.13-3
2021-03-23 05:26:34 status installed libtasn1-6:amd64 4.13-3
2021-03-23 05:26:34 configure debianutils:amd64 4.8.6.1 <none>
2021-03-23 05:26:34 status unpacked debianutils:amd64 4.8.6.1
2021-03-23 05:26:34 status half-configured debianutils:amd64 4.8.6.1
2021-03-23 05:26:34 status installed debianutils:amd64 4.8.6.1
2021-03-23 05:26:34 configure mawk:amd64 1.3.3-17+b3 <none>
2021-03-23 05:26:34 status unpacked mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:34 status half-configured mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:34 status installed mawk:amd64 1.3.3-17+b3
2021-03-23 05:26:34 configure libdebconfclient0:amd64 0.249 <none>
2021-03-23 05:26:34 status unpacked libdebconfclient0:amd64 0.249
2021-03-23 05:26:34 status half-configured libdebconfclient0:amd64 0.249
2021-03-23 05:26:34 status installed libdebconfclient0:amd64 0.249
2021-03-23 05:26:34 configure base-files:amd64 10.3+deb10u8 <none>
2021-03-23 05:26:34 status unpacked base-files:amd64 10.3+deb10u8
2021-03-23 05:26:34 status half-configured base-files:amd64 10.3+deb10u8
2021-03-23 05:26:34 status installed base-files:amd64 10.3+deb10u8
2021-03-23 05:26:34 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2021-03-23 05:26:34 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-03-23 05:26:34 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-03-23 05:26:34 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-03-23 05:26:34 configure base-passwd:amd64 3.5.46 <none>
2021-03-23 05:26:34 status unpacked base-passwd:amd64 3.5.46
2021-03-23 05:26:34 status half-configured base-passwd:amd64 3.5.46
2021-03-23 05:26:34 status installed base-passwd:amd64 3.5.46
2021-03-23 05:26:34 configure libdb5.3:amd64 5.3.28+dfsg1-0.5 <none>
2021-03-23 05:26:34 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-03-23 05:26:34 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-03-23 05:26:34 status installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-03-23 05:26:34 configure libtinfo6:amd64 6.1+20181013-2+deb10u2 <none>
